"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
NA,"gru","fgw",2024-08-15,13,NA,NA,NA,NA
NA,"fdp","fgw",2024-08-15,4,NA,NA,NA,NA
NA,"cdu","fgw",2024-08-15,32,NA,NA,NA,NA
NA,"bsw","fgw",2024-08-15,8,NA,NA,NA,NA
NA,"afd","fgw",2024-08-15,16,NA,NA,NA,NA
NA,"spd","forsa",2024-08-13,15,NA,NA,NA,NA
NA,"spd","gms",2024-08-13,14,NA,NA,NA,NA
NA,"spd","insa",2024-08-13,15,NA,NA,NA,NA
NA,"oth","forsa",2024-08-13,12,NA,NA,NA,NA
NA,"oth","insa",2024-08-13,8.5,NA,NA,NA,NA
NA,"oth","gms",2024-08-13,17,NA,NA,NA,NA
NA,"lin","insa",2024-08-13,3,NA,NA,NA,NA
NA,"lin","forsa",2024-08-13,3,NA,NA,NA,NA
NA,"lin","gms",2024-08-13,3,NA,NA,NA,NA
NA,"gru","gms",2024-08-13,12,NA,NA,NA,NA
NA,"gru","forsa",2024-08-13,11,NA,NA,NA,NA
NA,"gru","insa",2024-08-13,10.5,NA,NA,NA,NA
NA,"fdp","forsa",2024-08-13,5,NA,NA,NA,NA
NA,"fdp","gms",2024-08-13,5,NA,NA,NA,NA
NA,"fdp","insa",2024-08-13,5,NA,NA,NA,NA
NA,"cdu","forsa",2024-08-13,30,NA,NA,NA,NA
NA,"cdu","insa",2024-08-13,30.5,NA,NA,NA,NA
NA,"cdu","gms",2024-08-13,32,NA,NA,NA,NA
NA,"bsw","forsa",2024-08-13,7,NA,NA,NA,NA
NA,"bsw","gms",2024-08-13,NA,NA,NA,NA,NA
NA,"bsw","insa",2024-08-13,9.5,NA,NA,NA,NA
NA,"afd","gms",2024-08-13,17,NA,NA,NA,NA
NA,"afd","forsa",2024-08-13,17,NA,NA,NA,NA
NA,"afd","insa",2024-08-13,18,NA,NA,NA,NA
NA,"spd","insa",2024-08-10,16,NA,NA,NA,NA
NA,"oth","insa",2024-08-10,8,NA,NA,NA,NA
